Scam Type,Scam Type.1,Threat Type,Medium Used,Target Actions,Common Phrases/Examples,Unnamed: 6
Investment Scams,Claims the victim's device is infected with malware and demands payment.,Personal,SMS,Invest in fake opportunity,Your device is infected. Call us to fix it.,
Phishing Scams,Tricks victims into providing sensitive information.,Financial,Pop-ups,Donate to fake charity,I need money for an emergency.,
Debt Collection Scams,Promotes fake investment opportunities to steal money.,Emotional,Dating Apps,Send money or gifts,I need money for an emergency.,
Tech Support Scams,Promotes fake investment opportunities to steal money.,Financial/Emotional,Social Media,Claim prize by paying fee,We are the IRS. Pay to avoid legal action.,
Charity Scams,Falsely claims unpaid debt and demands immediate payment.,Emotional,Social Media,Pay ransom,Invest now and double your money.,
Debt Collection Scams,Exploits online relationships to demand money or gifts.,Emotional,SMS,Donate to fake charity,I need money for an emergency.,
Fake Law Enforcement Scams,Falsely claims unpaid debt and demands immediate payment.,Personal,Social Media,Pay fine to avoid arrest,We are the IRS. Pay to avoid legal action.,
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,Social Media,Pay for fake services,Invest now and double your money.,
Extortion Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Phone,Invest in fake opportunity,Your account is compromised. Act now!,
Investment Scams,Impersonates police or government to claim unpaid fines.,Personal,Pop-ups,Make payment to avoid legal trouble,Your account is compromised. Act now!,
Debt Collection Scams,Tricks victims into providing sensitive information.,Emotional,SMS,Donate to fake charity,"Help me, I'm in trouble.",
Fake Law Enforcement Scams,Asks for donations to fake causes or charities.,Legal,Phone,Provide personal information,We are the IRS. Pay to avoid legal action.,
Phishing Scams,Tricks victims into providing sensitive information.,Emotional,Email,Send money or gifts,I need money for an emergency.,
Debt Collection Scams,Impersonates police or government to claim unpaid fines.,Financial/Personal,Phone,Send money or gifts,Confirm your account details to avoid suspension.,
Extortion Scams,Pretends to be someone else to steal personal or financial information.,Personal,Email,Make payment to avoid legal trouble,Your account is compromised. Act now!,
Charity Scams,Impersonates police or government to claim unpaid fines.,Legal,Dating Apps,Pay for fake services,Your account is compromised. Act now!,
Fake Law Enforcement Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Social Media,Invest in fake opportunity,We are the IRS. Pay to avoid legal action.,
Debt Collection Scams,Tricks victims into providing sensitive information.,Personal,Dating Apps,Claim prize by paying fee,You’ve won! Claim your prize by paying a fee.,
Investment Scams,Threatens to release personal data unless ransom is paid.,Legal,Email,Donate to fake charity,We are the IRS. Pay to avoid legal action.,
Charity Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,SMS,Provide personal information,Invest now and double your money.,
Romance Scams,Impersonates police or government to claim unpaid fines.,Legal,SMS,Provide personal information,We are the IRS. Pay to avoid legal action.,
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,Pop-ups,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Lottery Scams,Threatens to release personal data unless ransom is paid.,Financial/Emotional,Social Media,Provide personal information,You owe $500. Pay immediately.,
Lottery Scams,Impersonates police or government to claim unpaid fines.,Financial,Phone,Pay fine to avoid arrest,Invest now and double your money.,
Charity Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,Phone,Donate to fake charity,We are the IRS. Pay to avoid legal action.,
Debt Collection Scams,Falsely claims unpaid debt and demands immediate payment.,Financial,Email,Make payment to avoid legal trouble,Your device is infected. Call us to fix it.,
Phishing Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Dating Apps,Claim prize by paying fee,You’ve won! Claim your prize by paying a fee.,
Romance Scams,Impersonates police or government to claim unpaid fines.,Financial,Social Media,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Romance Scams,Asks for donations to fake causes or charities.,Financial/Personal,Social Media,Pay for fake services,I need money for an emergency.,
Charity Scams,Pretends to be someone else to steal personal or financial information.,Legal,Social Media,Invest in fake opportunity,You’ve won! Claim your prize by paying a fee.,
Romance Scams,Promotes fake investment opportunities to steal money.,Emotional,Pop-ups,Pay fine to avoid arrest,Confirm your account details to avoid suspension.,
Romance Scams,Pretends to be someone else to steal personal or financial information.,Financial,Email,Pay fine to avoid arrest,This is a charity drive. Donate now.,
Phishing Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,Dating Apps,Pay fine to avoid arrest,We are the IRS. Pay to avoid legal action.,
Lottery Scams,Asks for donations to fake causes or charities.,Financial,Email,Make payment to avoid legal trouble,Invest now and double your money.,
Romance Scams,Claims the victim's device is infected with malware and demands payment.,Personal,SMS,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Extortion Scams,Pretends to be someone else to steal personal or financial information.,Legal,Email,Pay ransom,You’ve won! Claim your prize by paying a fee.,
Romance Scams,Falsely claims unpaid debt and demands immediate payment.,Personal,Phone,Claim prize by paying fee,You’ve won! Claim your prize by paying a fee.,
Investment Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,SMS,Send money or gifts,This is a charity drive. Donate now.,
Impersonation Scams,Impersonates police or government to claim unpaid fines.,Financial/Personal,Email,Make payment to avoid legal trouble,You’ve won! Claim your prize by paying a fee.,
Phishing Scams,Pretends to be someone else to steal personal or financial information.,Personal,Social Media,Provide personal information,Your account is compromised. Act now!,
Impersonation Scams,Falsely claims unpaid debt and demands immediate payment.,Personal,Pop-ups,Pay ransom,Invest now and double your money.,
Phishing Scams,Claims the victim's device is infected with malware and demands payment.,Personal,SMS,Pay ransom,You’ve won! Claim your prize by paying a fee.,
Extortion Scams,Threatens to release personal data unless ransom is paid.,Legal,Phone,Pay for fake services,"Help me, I'm in trouble.",
Romance Scams,Asks for donations to fake causes or charities.,Financial,Phone,Pay ransom,Confirm your account details to avoid suspension.,
Lottery Scams,Pretends to be someone else to steal personal or financial information.,Personal,Pop-ups,Pay ransom,Your account is compromised. Act now!,
Tech Support Scams,Exploits online relationships to demand money or gifts.,Personal,Social Media,Claim prize by paying fee,We are the IRS. Pay to avoid legal action.,
Lottery Scams,Impersonates police or government to claim unpaid fines.,Financial/Emotional,Social Media,Pay ransom,Your device is infected. Call us to fix it.,
Charity Scams,Pretends to be someone else to steal personal or financial information.,Financial/Personal,Phone,Donate to fake charity,Invest now and double your money.,
Lottery Scams,Tricks victims into providing sensitive information.,Financial/Emotional,Dating Apps,Send money or gifts,Your device is infected. Call us to fix it.,
Charity Scams,Exploits online relationships to demand money or gifts.,Financial/Emotional,Dating Apps,Claim prize by paying fee,Your device is infected. Call us to fix it.,
Phishing Scams,Impersonates police or government to claim unpaid fines.,Personal,Dating Apps,Claim prize by paying fee,This is a charity drive. Donate now.,
Phishing Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Emotional,SMS,Provide personal information,"Help me, I'm in trouble.",
Debt Collection Scams,Promotes fake investment opportunities to steal money.,Financial,Email,Make payment to avoid legal trouble,Confirm your account details to avoid suspension.,
Investment Scams,Tricks victims into providing sensitive information.,Legal,Dating Apps,Provide personal information,You owe $500. Pay immediately.,
Impersonation Scams,Pretends to be someone else to steal personal or financial information.,Emotional,Phone,Pay for fake services,Invest now and double your money.,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,SMS,Donate to fake charity,Invest now and double your money.,
Lottery Scams,Impersonates police or government to claim unpaid fines.,Personal,Social Media,Pay ransom,Your account is compromised. Act now!,
Investment Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Email,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Fake Law Enforcement Scams,Tricks victims into providing sensitive information.,Legal,Pop-ups,Claim prize by paying fee,Your account is compromised. Act now!,
Phishing Scams,Pretends to be someone else to steal personal or financial information.,Personal,Dating Apps,Pay for fake services,You’ve won! Claim your prize by paying a fee.,
Phishing Scams,Promotes fake investment opportunities to steal money.,Legal,SMS,Claim prize by paying fee,Invest now and double your money.,
Extortion Scams,Promotes fake investment opportunities to steal money.,Emotional,Email,Invest in fake opportunity,I need money for an emergency.,
Impersonation Scams,Exploits online relationships to demand money or gifts.,Emotional,Social Media,Provide personal information,Confirm your account details to avoid suspension.,
Tech Support Scams,Asks for donations to fake causes or charities.,Personal,Pop-ups,Donate to fake charity,Confirm your account details to avoid suspension.,
Fake Law Enforcement Scams,Tricks victims into providing sensitive information.,Emotional,Email,Make payment to avoid legal trouble,We are the IRS. Pay to avoid legal action.,
Lottery Scams,Impersonates police or government to claim unpaid fines.,Financial/Personal,SMS,Donate to fake charity,Your account is compromised. Act now!,
Charity Scams,Pretends to be someone else to steal personal or financial information.,Financial,SMS,Claim prize by paying fee,Confirm your account details to avoid suspension.,
Debt Collection Scams,Asks for donations to fake causes or charities.,Financial,Social Media,Pay fine to avoid arrest,Invest now and double your money.,
Investment Scams,Promotes fake investment opportunities to steal money.,Personal,Social Media,Claim prize by paying fee,We are the IRS. Pay to avoid legal action.,
Phishing Scams,Claims the victim's device is infected with malware and demands payment.,Legal,SMS,Claim prize by paying fee,Your account is compromised. Act now!,
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,Social Media,Invest in fake opportunity,I need money for an emergency.,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Emotional,Social Media,Claim prize by paying fee,I need money for an emergency.,
Lottery Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,Phone,Provide personal information,Invest now and double your money.,
Impersonation Scams,Claims the victim's device is infected with malware and demands payment.,Emotional,Social Media,Pay for fake services,Invest now and double your money.,
Lottery Scams,Impersonates police or government to claim unpaid fines.,Personal,Dating Apps,Invest in fake opportunity,I need money for an emergency.,
Impersonation Scams,Pretends to be someone else to steal personal or financial information.,Financial/Emotional,Email,Send money or gifts,Your account is compromised. Act now!,
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Emotional,Social Media,Pay for fake services,"Help me, I'm in trouble.",
Debt Collection Scams,Impersonates police or government to claim unpaid fines.,Financial/Emotional,Phone,Send money or gifts,"Help me, I'm in trouble.",
Tech Support Scams,Exploits online relationships to demand money or gifts.,Financial/Emotional,SMS,Donate to fake charity,You owe $500. Pay immediately.,
Lottery Scams,Claims the victim's device is infected with malware and demands payment.,Legal,Pop-ups,Donate to fake charity,Invest now and double your money.,
Tech Support Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Personal,Pop-ups,Pay ransom,You’ve won! Claim your prize by paying a fee.,
Extortion Scams,Pretends to be someone else to steal personal or financial information.,Personal,Social Media,Invest in fake opportunity,Confirm your account details to avoid suspension.,
Investment Scams,Exploits online relationships to demand money or gifts.,Emotional,SMS,Send money or gifts,I need money for an emergency.,
Romance Scams,Claims the victim's device is infected with malware and demands payment.,Emotional,SMS,Claim prize by paying fee,This is a charity drive. Donate now.,
Tech Support Scams,Tricks victims into providing sensitive information.,Financial/Personal,SMS,Make payment to avoid legal trouble,Your account is compromised. Act now!,
Impersonation Scams,Exploits online relationships to demand money or gifts.,Financial,SMS,Provide personal information,"Help me, I'm in trouble.",
Debt Collection Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,Email,Pay ransom,"Help me, I'm in trouble.",
Phishing Scams,Threatens to release personal data unless ransom is paid.,Legal,Dating Apps,Send money or gifts,Your account is compromised. Act now!,
Fake Law Enforcement Scams,Falsely claims unpaid debt and demands immediate payment.,Personal,Phone,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Charity Scams,Pretends to be someone else to steal personal or financial information.,Financial/Personal,Pop-ups,Make payment to avoid legal trouble,Invest now and double your money.,
Phishing Scams,Claims the victim's device is infected with malware and demands payment.,Personal,Social Media,Invest in fake opportunity,Your device is infected. Call us to fix it.,
Tech Support Scams,Promotes fake investment opportunities to steal money.,Emotional,SMS,Send money or gifts,You’ve won! Claim your prize by paying a fee.,
Impersonation Scams,Exploits online relationships to demand money or gifts.,Legal,Dating Apps,Claim prize by paying fee,You owe $500. Pay immediately.,
Romance Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,Phone,Pay for fake services,You’ve won! Claim your prize by paying a fee.,
Extortion Scams,Exploits online relationships to demand money or gifts.,Financial,Phone,Send money or gifts,Your device is infected. Call us to fix it.,
Tech Support Scams,Pretends to be someone else to steal personal or financial information.,Personal,Phone,Donate to fake charity,We are the IRS. Pay to avoid legal action.,
Tech Support Scams,Asks for donations to fake causes or charities.,Financial/Personal,Social Media,Invest in fake opportunity,"Help me, I'm in trouble.",
Extortion Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,Pop-ups,Make payment to avoid legal trouble,You owe $500. Pay immediately.,
Romance Scams,Claims the victim has won a prize and asks for payment to claim it.,Legal,Social Media,Provide personal information,You owe $500. Pay immediately.,
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,Pop-ups,Pay fine to avoid arrest,"Help me, I'm in trouble.",
Debt Collection Scams,Pretends to be someone else to steal personal or financial information.,Legal,Email,Claim prize by paying fee,This is a charity drive. Donate now.,
Debt Collection Scams,Exploits online relationships to demand money or gifts.,Financial/Personal,Dating Apps,Pay ransom,We are the IRS. Pay to avoid legal action.,
Fake Law Enforcement Scams,Pretends to be someone else to steal personal or financial information.,Financial,Social Media,Send money or gifts,We are the IRS. Pay to avoid legal action.,
Phishing Scams,Exploits online relationships to demand money or gifts.,Financial,Social Media,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,Dating Apps,Pay ransom,Your account is compromised. Act now!,
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,Email,Claim prize by paying fee,Your device is infected. Call us to fix it.,
Phishing Scams,Impersonates police or government to claim unpaid fines.,Emotional,Social Media,Claim prize by paying fee,We are the IRS. Pay to avoid legal action.,
Fake Law Enforcement Scams,Falsely claims unpaid debt and demands immediate payment.,Legal,SMS,Pay for fake services,"Help me, I'm in trouble.",
Debt Collection Scams,Tricks victims into providing sensitive information.,Emotional,SMS,Send money or gifts,"Help me, I'm in trouble.",
Fake Law Enforcement Scams,Exploits online relationships to demand money or gifts.,Personal,Pop-ups,Pay fine to avoid arrest,I need money for an emergency.,
Investment Scams,Threatens to release personal data unless ransom is paid.,Personal,Social Media,Claim prize by paying fee,Your device is infected. Call us to fix it.,
Phishing Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Emotional,Pop-ups,Pay fine to avoid arrest,Invest now and double your money.,
Phishing Scams,Exploits online relationships to demand money or gifts.,Legal,SMS,Provide personal information,You’ve won! Claim your prize by paying a fee.,
Extortion Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Emotional,Dating Apps,Donate to fake charity,You’ve won! Claim your prize by paying a fee.,
Impersonation Scams,Promotes fake investment opportunities to steal money.,Emotional,Phone,Invest in fake opportunity,This is a charity drive. Donate now.,
Investment Scams,Tricks victims into providing sensitive information.,Financial,Pop-ups,Make payment to avoid legal trouble,Confirm your account details to avoid suspension.,
Extortion Scams,Falsely claims unpaid debt and demands immediate payment.,Financial/Emotional,Social Media,Invest in fake opportunity,We are the IRS. Pay to avoid legal action.,
Investment Scams,Exploits online relationships to demand money or gifts.,Legal,Dating Apps,Donate to fake charity,This is a charity drive. Donate now.,
Debt Collection Scams,Asks for donations to fake causes or charities.,Personal,Social Media,Pay ransom,Invest now and double your money.,
Impersonation Scams,Tricks victims into providing sensitive information.,Financial,Phone,Claim prize by paying fee,You’ve won! Claim your prize by paying a fee.,
Impersonation Scams,Impersonates police or government to claim unpaid fines.,Legal,Social Media,Donate to fake charity,"Help me, I'm in trouble.",
Phishing Scams,Exploits online relationships to demand money or gifts.,Financial/Personal,Dating Apps,Send money or gifts,"Help me, I'm in trouble.",
Investment Scams,Claims the victim's device is infected with malware and demands payment.,Financial,Dating Apps,Pay ransom,Invest now and double your money.,
Charity Scams,Exploits online relationships to demand money or gifts.,Financial/Emotional,Email,Donate to fake charity,We are the IRS. Pay to avoid legal action.,
Phishing Scams,Exploits online relationships to demand money or gifts.,Financial,Pop-ups,Pay ransom,Your device is infected. Call us to fix it.,
Tech Support Scams,Promotes fake investment opportunities to steal money.,Personal,Dating Apps,Send money or gifts,Invest now and double your money.,
Extortion Scams,Promotes fake investment opportunities to steal money.,Emotional,Phone,Provide personal information,You owe $500. Pay immediately.,
Charity Scams,Threatens to release personal data unless ransom is paid.,Legal,Email,Pay ransom,We are the IRS. Pay to avoid legal action.,
Tech Support Scams,Promotes fake investment opportunities to steal money.,Emotional,Social Media,Make payment to avoid legal trouble,Your device is infected. Call us to fix it.,
Fake Law Enforcement Scams,Threatens to release personal data unless ransom is paid.,Financial,Email,Claim prize by paying fee,"Help me, I'm in trouble.",
Lottery Scams,Asks for donations to fake causes or charities.,Financial/Personal,Phone,Provide personal information,I need money for an emergency.,
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,Phone,Invest in fake opportunity,Invest now and double your money.,
Charity Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,Pop-ups,Make payment to avoid legal trouble,Confirm your account details to avoid suspension.,
Tech Support Scams,Pretends to be someone else to steal personal or financial information.,Legal,Pop-ups,Make payment to avoid legal trouble,You owe $500. Pay immediately.,
Tech Support Scams,Falsely claims unpaid debt and demands immediate payment.,Personal,Email,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Investment Scams,Claims the victim's device is infected with malware and demands payment.,Personal,Pop-ups,Claim prize by paying fee,I need money for an emergency.,
Impersonation Scams,Asks for donations to fake causes or charities.,Financial/Personal,SMS,Invest in fake opportunity,"Help me, I'm in trouble.",
Investment Scams,Asks for donations to fake causes or charities.,Financial,Phone,Send money or gifts,Your device is infected. Call us to fix it.,
Charity Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,Dating Apps,Invest in fake opportunity,Confirm your account details to avoid suspension.,
Charity Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,Phone,Donate to fake charity,You owe $500. Pay immediately.,
Debt Collection Scams,Pretends to be someone else to steal personal or financial information.,Legal,Pop-ups,Pay ransom,Your device is infected. Call us to fix it.,
Tech Support Scams,Pretends to be someone else to steal personal or financial information.,Financial,Dating Apps,Claim prize by paying fee,You owe $500. Pay immediately.,
Debt Collection Scams,Impersonates police or government to claim unpaid fines.,Emotional,Dating Apps,Claim prize by paying fee,Invest now and double your money.,
Fake Law Enforcement Scams,Pretends to be someone else to steal personal or financial information.,Personal,Dating Apps,Pay for fake services,You owe $500. Pay immediately.,
Debt Collection Scams,Exploits online relationships to demand money or gifts.,Legal,Email,Pay fine to avoid arrest,Invest now and double your money.,
Extortion Scams,Tricks victims into providing sensitive information.,Emotional,SMS,Pay fine to avoid arrest,Confirm your account details to avoid suspension.,
Charity Scams,Pretends to be someone else to steal personal or financial information.,Emotional,Phone,Make payment to avoid legal trouble,"Help me, I'm in trouble.",
Extortion Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial,Pop-ups,Send money or gifts,"Help me, I'm in trouble.",
Romance Scams,Promotes fake investment opportunities to steal money.,Financial,Dating Apps,Make payment to avoid legal trouble,We are the IRS. Pay to avoid legal action.,
Debt Collection Scams,Falsely claims unpaid debt and demands immediate payment.,Legal,SMS,Pay for fake services,Confirm your account details to avoid suspension.,
Romance Scams,Asks for donations to fake causes or charities.,Personal,Social Media,Invest in fake opportunity,You owe $500. Pay immediately.,
Phishing Scams,Threatens to release personal data unless ransom is paid.,Financial/Personal,Email,Provide personal information,"Help me, I'm in trouble.",
Lottery Scams,Claims the victim's device is infected with malware and demands payment.,Emotional,Dating Apps,Send money or gifts,You owe $500. Pay immediately.,
Impersonation Scams,Exploits online relationships to demand money or gifts.,Financial,Dating Apps,Provide personal information,We are the IRS. Pay to avoid legal action.,
Fake Law Enforcement Scams,Pretends to be someone else to steal personal or financial information.,Financial/Personal,Dating Apps,Pay fine to avoid arrest,Your device is infected. Call us to fix it.,
Lottery Scams,Claims the victim's device is infected with malware and demands payment.,Legal,Dating Apps,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Phishing Scams,Falsely claims unpaid debt and demands immediate payment.,Emotional,Dating Apps,Provide personal information,Invest now and double your money.,
Phishing Scams,Asks for donations to fake causes or charities.,Financial/Emotional,Email,Provide personal information,Your account is compromised. Act now!,
Charity Scams,Promotes fake investment opportunities to steal money.,Emotional,Email,Pay ransom,You’ve won! Claim your prize by paying a fee.,
Investment Scams,Threatens to release personal data unless ransom is paid.,Legal,Phone,Donate to fake charity,"Help me, I'm in trouble.",
Romance Scams,Threatens to release personal data unless ransom is paid.,Legal,Email,Provide personal information,Your device is infected. Call us to fix it.,
Tech Support Scams,Threatens to release personal data unless ransom is paid.,Financial,Phone,Pay for fake services,We are the IRS. Pay to avoid legal action.,
Impersonation Scams,Tricks victims into providing sensitive information.,Financial,Pop-ups,Invest in fake opportunity,Your device is infected. Call us to fix it.,
Investment Scams,Claims the victim has won a prize and asks for payment to claim it.,Financial/Personal,Social Media,Make payment to avoid legal trouble,"Help me, I'm in trouble.",
Extortion Scams,Claims the victim has won a prize and asks for payment to claim it.,Emotional,SMS,Send money or gifts,You owe $500. Pay immediately.,
Phishing Scams,Claims the victim has won a prize and asks for payment to claim it.,Personal,Social Media,Pay ransom,You owe $500. Pay immediately.,
Debt Collection Scams,Exploits online relationships to demand money or gifts.,Financial/Emotional,SMS,Claim prize by paying fee,You’ve won! Claim your prize by paying a fee.,
Extortion Scams,Asks for donations to fake causes or charities.,Personal,Email,Claim prize by paying fee,"Help me, I'm in trouble.",
Investment Scams,Promotes fake investment opportunities to steal money.,Personal,SMS,Claim prize by paying fee,This is a charity drive. Donate now.,
Extortion Scams,Threatens to release personal data unless ransom is paid.,Emotional,SMS,Make payment to avoid legal trouble,Your account is compromised. Act now!,
Debt Collection Scams,Asks for donations to fake causes or charities.,Emotional,Email,Pay ransom,We are the IRS. Pay to avoid legal action.,
Charity Scams,Tricks victims into providing sensitive information.,Financial,Email,Donate to fake charity,I need money for an emergency.,
Debt Collection Scams,Promotes fake investment opportunities to steal money.,Financial/Personal,Pop-ups,Make payment to avoid legal trouble,You’ve won! Claim your prize by paying a fee.,
Debt Collection Scams,Pretends to be someone else to steal personal or financial information.,Legal,Email,Make payment to avoid legal trouble,We are the IRS. Pay to avoid legal action.,
Investment Scams,Asks for donations to fake causes or charities.,Emotional,Dating Apps,Provide personal information,Invest now and double your money.,
